panel,run,case,implementation,s1,s2,s3,s4,alpha,p00,p01,p10,p11,theory_u1,theory_u2,measured_u1,measured_u2,common_payoff,payoff_asymmetry,squared_distance_to_theory
C,76,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4912109375,0.0126953125,0.0087890625,0.4873046875,0.625,0.625,0.621337890625,0.625244140625,0.623291015625,-0.00390625,1.3470649719238281e-05
C,77,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4970703125,0.01171875,0.01171875,0.4794921875,0.625,0.625,0.62646484375,0.62646484375,0.62646484375,0.0,4.291534423828125e-06
C,78,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4970703125,0.013671875,0.009765625,0.4794921875,0.625,0.625,0.62451171875,0.62841796875,0.62646484375,-0.00390625,1.1920928955078125e-05
C,79,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4970703125,0.0107421875,0.009765625,0.482421875,0.625,0.625,0.6256103515625,0.6265869140625,0.6260986328125,-0.0009765625,2.8908252716064453e-06
C,80,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4912109375,0.0166015625,0.009765625,0.482421875,0.625,0.625,0.6204833984375,0.6273193359375,0.6239013671875,-0.0068359375,2.5779008865356445e-05
C,81,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4921875,0.0146484375,0.013671875,0.4794921875,0.625,0.625,0.6241455078125,0.6251220703125,0.6246337890625,-0.0009765625,7.450580596923828e-07
C,82,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4990234375,0.0078125,0.0087890625,0.484375,0.625,0.625,0.6270751953125,0.6260986328125,0.6265869140625,0.0009765625,5.513429641723633e-06
C,83,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4921875,0.0126953125,0.0107421875,0.484375,0.625,0.625,0.623046875,0.625,0.6240234375,-0.001953125,3.814697265625e-06
C,84,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4912109375,0.01171875,0.01171875,0.4853515625,0.625,0.625,0.62353515625,0.62353515625,0.62353515625,0.0,4.291534423828125e-06
C,85,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4921875,0.0166015625,0.0078125,0.4833984375,0.625,0.625,0.6197509765625,0.6285400390625,0.6241455078125,-0.0087890625,4.0084123611450195e-05
C,86,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4912109375,0.013671875,0.0126953125,0.482421875,0.625,0.625,0.6234130859375,0.6243896484375,0.6239013671875,-0.0009765625,2.8908252716064453e-06
C,87,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4951171875,0.0146484375,0.013671875,0.4765625,0.625,0.625,0.6256103515625,0.6265869140625,0.6260986328125,-0.0009765625,2.8908252716064453e-06
C,88,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.494140625,0.0126953125,0.0146484375,0.478515625,0.625,0.625,0.62646484375,0.62451171875,0.62548828125,0.001953125,2.384185791015625e-06
C,89,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4951171875,0.0078125,0.0126953125,0.484375,0.625,0.625,0.6275634765625,0.6226806640625,0.6251220703125,0.0048828125,1.195073127746582e-05
C,90,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.494140625,0.01171875,0.0087890625,0.4853515625,0.625,0.625,0.6231689453125,0.6260986328125,0.6246337890625,-0.0029296875,4.559755325317383e-06
C,91,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.49609375,0.009765625,0.0107421875,0.4833984375,0.625,0.625,0.6260986328125,0.6251220703125,0.6256103515625,0.0009765625,1.2218952178955078e-06
C,92,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4921875,0.0126953125,0.009765625,0.4853515625,0.625,0.625,0.6224365234375,0.6253662109375,0.6239013671875,-0.0029296875,6.705522537231445e-06
C,93,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4951171875,0.0146484375,0.0048828125,0.4853515625,0.625,0.625,0.6201171875,0.6298828125,0.625,-0.009765625,4.76837158203125e-05
C,94,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4970703125,0.005859375,0.0087890625,0.48828125,0.625,0.625,0.6268310546875,0.6239013671875,0.6253662109375,0.0029296875,4.559755325317383e-06
C,95,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4931640625,0.0126953125,0.0048828125,0.4892578125,0.625,0.625,0.619873046875,0.627685546875,0.623779296875,-0.0078125,3.349781036376953e-05
C,96,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.498046875,0.0126953125,0.0078125,0.4814453125,0.625,0.625,0.6241455078125,0.6290283203125,0.6265869140625,-0.0048828125,1.6957521438598633e-05
C,97,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.494140625,0.0107421875,0.0107421875,0.484375,0.625,0.625,0.624755859375,0.624755859375,0.624755859375,0.0,1.1920928955078125e-07
C,98,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4970703125,0.01171875,0.0087890625,0.482421875,0.625,0.625,0.6246337890625,0.6275634765625,0.6260986328125,-0.0029296875,6.705522537231445e-06
C,99,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.4951171875,0.0185546875,0.0107421875,0.4755859375,0.625,0.625,0.622314453125,0.630126953125,0.626220703125,-0.0078125,3.349781036376953e-05
C,100,"Case 3a(ii) (PD), mixed",mixed reconstructed,0.875,0.0,1.0,0.375,pi/2,0.490234375,0.0126953125,0.0126953125,0.484375,0.625,0.625,0.623291015625,0.623291015625,0.623291015625,0.0,5.841255187988281e-06
